section,id,text,type,options,unit,required,help_text,dimension,method,params,weight,weight_routine,weight_advanced,show_if_id,show_if_value
Equipment Fixed Costs,equip_basic,Select primary instrumentation,equipment_dropdown,,EUR,TRUE,"Select one primary instrument from the lab inventory CSV. The chosen price contributes directly to the fixed-cost score.",Equipment Fixed Costs,threshold,"{\"ranges\": [{\"max\": 20000, \"score\": 100}, {\"max\": 60000, \"score\": 75}, {\"max\": 200000, \"score\": 50}, {\"max\": 999999, \"score\": 25}]}",1,1,1,,
Equipment Fixed Costs,equip_section2,Select column characteristics (fixed cost),column_selector,,EUR,TRUE,"Choose the chromatography column family and the exact column used. The selected column price contributes to the fixed-cost score.",Equipment Fixed Costs,threshold,"{\"ranges\": [{\"max\": 0, \"score\": 100}, {\"max\": 50, \"score\": 75}, {\"max\": 150, \"score\": 50}, {\"max\": 999999, \"score\": 25}]}",1,1,1,,
Equipment Fixed Costs,equip_section3,Section 3: Auxiliary Equipment,label,,,FALSE,"Use the Auxiliary Equipment checklist below to capture pretreatment infrastructure costs.",Equipment Fixed Costs,notes,,,1,1,1,,
Analytical Consumables,econ_mobile_phase_label,For mobile phase,label,,,FALSE,"This section covers the analytical mobile phase composition and per-run consumables cost.",Analytical Consumables,notes,,,1,1,2,,
Analytical Consumables,econ_rec1,What are the analytical consumables costs per run?,recurring_cost_calculator,,EUR,TRUE,"Enter total run time and flow rate, then choose solvents and buffers. Total analytical consumables cost = run time × flow rate × (solvent cost + buffer cost).",Analytical Consumables,threshold,"{""ranges"": [{""max"": 0, ""score"": 100}, {""max"": 50, ""score"": 75}, {""max"": 150, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,2,,
Analytical Consumables,econ_sample_pretreatment_label,For sample pretreatment,label,,,FALSE,"This section covers the sample pretreatment equipment used before the analytical step.",Analytical Consumables,notes,,,1,1,2,,
Analytical Consumables,sample_pretreat_solvent,Solvent used,equipment_checklist,,EUR,TRUE,"Select solvents used in sample pretreatment and enter volume in mL per sample for each selected solvent.",Analytical Consumables,threshold,"{""ranges"": [{""max"": 10, ""score"": 100}, {""max"": 30, ""score"": 75}, {""max"": 60, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,2,,
Analytical Consumables,sample_pretreat_reagent,Reagent used,equipment_checklist,,EUR,TRUE,"Select reagents used in sample pretreatment and enter weight in g per sample for each selected reagent.",Analytical Consumables,threshold,"{""ranges"": [{""max"": 10, ""score"": 100}, {""max"": 30, ""score"": 75}, {""max"": 60, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,2,,
Analytical Consumables,sample_pretreat_materials,Sample prep materials,equipment_checklist,,EUR,TRUE,"Select sample preparation materials and enter quantity per sample for each selected item.",Analytical Consumables,threshold,"{""ranges"": [{""max"": 10, ""score"": 100}, {""max"": 30, ""score"": 75}, {""max"": 60, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,2,,
Analytical Performance,perf0,Enter number of analytes,number,,,TRUE,"Enter the number of analytes in the method. This is used for the analytical performance summary and practical reporting.",Analytical Performance,threshold,"{""ranges"": [{""max"": 1, ""score"": 25}, {""max"": 2, ""score"": 50}, {""max"": 3, ""score"": 75}, {""max"": 999999, ""score"": 100}]}",1,1,1,,
Analytical Performance,perf1,Enter method LOQ (µg/mL),number,,µg/mL,TRUE,"Enter the Limit of Quantification. Lower is better. Scoring: <1 = Excellent, <3 = Good, <10 = Acceptable, >10 = Poor.",Analytical Performance,threshold,"{""ranges"": [{""max"": 1, ""score"": 100}, {""max"": 3, ""score"": 75}, {""max"": 10, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,1,,
Analytical Performance,perf2,Enter number of peaks with Rs < 1.5 (including admixtures),number,,,TRUE,"Enter the number of peaks with resolution below 1.5. Scoring: 0 = Excellent, 1 = Good, 2 = Acceptable, >3 = Poor.",Analytical Performance,threshold,"{""ranges"": [{""max"": 0, ""score"": 100}, {""max"": 1, ""score"": 75}, {""max"": 2, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,1,,
Analytical Performance,perf3,What is the Precision of your method (RSD%)?,number,,%, TRUE,"Enter the RSD%. Scoring: <2.5% = Excellent, <3.5% = Good, <5% = Acceptable, >5% = Poor.",Analytical Performance,threshold,"{""ranges"": [{""max"": 2.5, ""score"": 100}, {""max"": 3.5, ""score"": 75}, {""max"": 5, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,1,,
Analytical Performance,perf4,What is the Repeatability of your method (RSD%)?,number,,%,TRUE,"Enter the RSD%. Scoring: <2% = Excellent, <3% = Good, <5% = Acceptable, >5% = Poor.",Analytical Performance,threshold,"{""ranges"": [{""max"": 2, ""score"": 100}, {""max"": 3, ""score"": 75}, {""max"": 5, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,1,,
Analytical Performance,perf5,What is the Accuracy of your method (% error in standard solution)?,number,,%,TRUE,"Enter the % error. Scoring: <1.5% = Excellent, <2% = Good, <3.5% = Acceptable, >3.5% = Poor.",Analytical Performance,threshold,"{""ranges"": [{""max"": 1.5, ""score"": 100}, {""max"": 2, ""score"": 75}, {""max"": 3.5, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,1,,
Analytical Performance,perf6,What is the Recovery of your assay (% error)?,number,,%,TRUE,"Enter the % error. Scoring: <3% = Excellent, <4% = Good, <5% = Acceptable, >5% = Poor.",Analytical Performance,threshold,"{""ranges"": [{""max"": 3, ""score"": 100}, {""max"": 4, ""score"": 75}, {""max"": 5, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,1,,
Analytical Performance,perf7,What is the Linearity (r²) of your method?,number,,,TRUE,"Enter the r² value (e.g. 0.9991). Scoring: ≥0.999 = Excellent, ≥0.998 = Good, ≥0.997 = Acceptable, <0.997 = Poor.",Analytical Performance,threshold,"{""ranges"": [{""max"": 0.997, ""score"": 25}, {""max"": 0.998, ""score"": 50}, {""max"": 0.999, ""score"": 75}, {""max"": 1, ""score"": 100}]}",1,1,2,,
Analytical Performance,perf8,Enter the retention factor (k) of the first analyte,number,,,TRUE,"Enter the k value. Scoring: 2-3 = Excellent, 3-6 = Good, 6-10 or 1.5-2 = Acceptable, outside 1-10 = Poor.",Analytical Performance,threshold,"{""ranges"": [{""max"": 1, ""score"": 25}, {""max"": 2, ""score"": 50}, {""max"": 3, ""score"": 100}, {""max"": 6, ""score"": 75}, {""max"": 10, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,2,,
